distance,confidence,lat,lon
3163,0,0.0,0.0
3154,0,0.0,0.0
2772,0,0.0,0.0
4098,0,0.0,0.0
4098,0,0.0,0.0
2173,2,0.0,0.0
2173,2,0.0,0.0
2173,2,0.0,0.0
2173,2,0.0,0.0
3435,1,0.0,0.0
3435,1,0.0,0.0
3435,1,0.0,0.0
3435,1,0.0,0.0
3435,1,0.0,0.0
3435,1,0.0,0.0
3435,0,0.0,0.0
3435,0,0.0,0.0
937,6,0.0,0.0
876,16,0.0,0.0
937,25,0.0,0.0
937,30,0.0,0.0
903,40,0.0,0.0
903,40,0.0,0.0
903,40,0.0,0.0
903,40,0.0,0.0
903,40,0.0,0.0
903,40,0.0,0.0
903,40,0.0,0.0
903,40,0.0,0.0
903,40,0.0,0.0
903,40,0.0,0.0
900,35,0.0,0.0
896,30,0.0,0.0
885,20,0.0,0.0
877,10,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
0,0,0.0,0.0
4036,3,0.0,0.0
4036,3,0.0,0.0
4036,3,44.9694186,-93.5168423
2434,4,44.9694184,-93.5168424
2434,4,44.9694184,-93.5168425
2434,4,44.9694185,-93.5168426
2434,4,44.9694187,-93.5168428
3574,4,44.9694189,-93.516843
3574,4,44.9694189,-93.516843
3871,4,44.9694191,-93.5168432
3871,4,44.9694193,-93.5168436
4317,4,44.9694194,-93.5168439
4258,4,44.9694196,-93.5168443
4130,1,44.9694197,-93.5168447
4130,1,44.9694198,-93.5168449
3789,1,44.9694198,-93.5168449
5357,2,44.9694198,-93.5168453
5357,2,44.9694199,-93.5168456
4166,3,44.9694199,-93.516846
4166,3,44.9694199,-93.5168462
4166,3,44.9694199,-93.5168464
4166,3,44.9694198,-93.5168467
4226,2,44.9694198,-93.5168467
4226,2,44.9694197,-93.516847
4126,2,44.9694195,-93.5168474
4126,2,44.9694194,-93.5168477
4076,2,44.9694193,-93.516848
4541,2,44.9694192,-93.5168484
3927,2,44.9694192,-93.5168487
3927,2,44.9694192,-93.5168487
4942,2,44.9694191,-93.516849
5258,1,44.969419,-93.5168492
5434,1,44.9694189,-93.5168494
5434,1,44.9694187,-93.5168497
2641,2,44.9694186,-93.5168499
2386,2,44.9694185,-93.5168502
2311,4,44.9694184,-93.5168504
2311,4,44.9694184,-93.5168504
2311,4,44.9694182,-93.5168507
2311,4,44.969418,-93.5168511
2629,9,44.9694179,-93.5168514
2629,9,44.9694178,-93.5168518
2596,10,44.9694177,-93.5168521
2691,11,44.9694176,-93.5168522
2693,14,44.9694176,-93.5168522
2676,15,44.9694174,-93.5168524
2701,14,44.9694173,-93.5168526
2720,13,44.9694171,-93.5168528
2680,14,44.969417,-93.516853
2609,13,44.969417,-93.5168532
2637,14,44.9694168,-93.5168535
2638,13,44.9694168,-93.5168535
2614,14,44.9694167,-93.5168538
2621,13,44.9694165,-93.5168542
2677,15,44.9694165,-93.5168544
2681,15,44.9694163,-93.5168545
2707,15,44.9694162,-93.5168548
2773,14,44.969416,-93.5168549
2773,14,44.9694157,-93.516855
2722,15,44.9694154,-93.516855
2722,15,44.9694154,-93.516855
2714,14,44.9694153,-93.5168551
